Medical_Term,Frequency
patient,24208
right,11587
left,11258
history,9509
normal,7526
procedure,7463
placed,7028
well,6611
pain,5976
noted,4348
also,4337
time,4287
using,4123
blood,3956
performed,3953
skin,3798
without,3732
anesthesia,3707
incision,3601
used,3554
removed,3532
year,3504
room,3502
old,3463
diagnosis,3212
general,3064
artery,3027
anterior,2932
taken,2816
back,2731
disease,2685
past,2674
chest,2631
examination,2578
position,2576
two,2562
area,2557
one,2494
lower,2462
fashion,2445
neck,2424
negative,2374
present,2368
made,2352
upper,2324
pressure,2284
closed,2279
good,2276
medications,2256
posterior,2254
postoperative,2241
lateral,2190
vicryl,2189
abdomen,2186
obtained,2181
medical,2172
day,2152
operating,2151
approximately,2147
clear,2139
significant,2129
heart,2129
preoperative,2106
surgery,2089
evidence,2074
given,2048
tissue,2041
condition,1971
exam,1967
side,1964
suture,1945
small,1917
sterile,1914
denies,1906
stable,1903
catheter,1881
physical,1867
bilaterally,1860
done,1847
intact,1839
seen,1821
loss,1796
prepped,1792
care,1790
mild,1786
distal,1785
findings,1780
family,1779
complications,1777
daily,1777
extremities,1740
wound,1738
head,1738
symptoms,1736
draped,1716
none,1713
bilateral,1699
plan,1675
identified,1660
level,1660
prior,1658
within,1644
showed,1636
rate,1632
coronary,1619
signs,1614
brought,1595
next,1592
diagnoses,1592
bleeding,1591
bone,1568
surgical,1555
hospital,1550
would,1547
soft,1544
per,1511
needle,1506
acute,1504
bladder,1501
proximal,1491
muscle,1487
dissection,1487
female,1474
medial,1464
allergies,1463
found,1459
nerve,1437
abdominal,1431
tube,1407
tolerated,1406
years,1393
status,1391
bowel,1390
mass,1388
point,1383
chronic,1383
discussed,1370
use,1368
today,1360
applied,1355
first,1337
cervical,1337
unremarkable,1331
review,1315
evaluation,1314
fascia,1313
knee,1312
days,1308
hemostasis,1292
difficulty,1292
discharge,1289
weight,1269
treatment,1268
following,1266
however,1265
joint,1261
home,1258
last,1251
recovery,1244
foot,1241
states,1234
illness,1227
three,1227
extremity,1225
may,1212
pulmonary,1209
weeks,1191
place,1189
subcutaneous,1184
revealed,1183
post,1179
eye,1178
vital,1160
stenosis,1160
attention,1159
usual,1157
sutures,1157
large,1154
impression,1152
vein,1151
risks,1143
total,1138
femoral,1137
multiple,1131
regular,1130
edema,1128
aspect,1127
problems,1124
systems,1121
could,1112
severe,1111
supine,1110
site,1108
hypertension,1107
white,1106
male,1105
second,1104
inserted,1104
see,1095
renal,1083
operative,1081
ago,1081
infection,1079
fracture,1077
since,1076
including,1074
lesion,1074
changes,1066
consent,1061
throughout,1054
end,1051
midline,1048
appropriate,1036
due,1030
tendon,1024
respiratory,1020
therapy,1016
carried,1016
able,1010
mother,1006
inferior,998
social,997
secondary,997
wall,993
positive,988
spine,985
running,984
low,984
interrupted,983
ligament,978
nasal,974
size,973
along,963
tumor,958
follow,957
irrigated,955
fluid,955
pulse,952
elevated,951
followed,951
appeared,946
endotracheal,944
previous,942
minutes,941
estimated,937
lesions,934
cancer,931
blade,929
cardiac,924
full,923
portion,920
mri,919
possible,911
